epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,58.5804,0.68893,1.9467,1.26815,0.00845,1,0.845,0.52707,1.72538,3.80041,2.32453,0.000179985,0.000179985,0.000179985
26,60.8132,0.5622,1.83318,1.17762,0.00845,1,0.845,0.52707,1.72538,3.80041,2.32453,0.000180411,0.000180411,0.000180411
27,63.0393,0.63717,1.84015,1.26518,0.00927,1,0.69268,0.47972,1.78908,4.0055,2.15432,0.000180271,0.000180271,0.000180271
28,65.2875,0.51195,1.82902,1.14531,0.00927,1,0.69268,0.47972,1.78908,4.0055,2.15432,0.000179565,0.000179565,0.000179565
29,67.6023,0.51701,1.81994,1.12818,0.0108,1,0.62545,0.47756,1.99092,4.14965,2.17778,0.000178293,0.000178293,0.000178293
30,69.8184,0.52087,1.56166,1.11512,0.0108,1,0.62545,0.47756,1.99092,4.14965,2.17778,0.000176456,0.000176456,0.000176456
31,72.6426,0.65045,1.69743,1.2796,0.01365,1,0.62187,0.47283,1.91649,4.35005,2.03127,0.000174052,0.000174052,0.000174052
32,74.9616,0.64272,1.72559,1.26726,0.01365,1,0.62187,0.47283,1.91649,4.35005,2.03127,0.000171083,0.000171083,0.000171083
33,77.2447,0.60596,1.78633,1.18068,0.0097,0.75,0.62293,0.46029,1.83416,4.40788,1.9655,0.000167547,0.000167547,0.000167547
34,79.3972,0.55732,1.47345,1.13431,0.0097,0.75,0.62293,0.46029,1.83416,4.40788,1.9655,0.000163446,0.000163446,0.000163446
35,81.6421,0.48707,1.40166,1.11547,0.01928,1,0.63556,0.47001,1.75148,4.3925,1.92962,0.000158779,0.000158779,0.000158779
36,83.8986,0.52847,1.45653,1.14261,0.01928,1,0.63556,0.47001,1.75148,4.3925,1.92962,0.000153546,0.000153546,0.000153546
37,86.2282,0.43525,1.43019,1.06653,0.02003,1,0.63556,0.47003,1.66157,4.37152,1.8805,0.000147747,0.000147747,0.000147747
38,88.5592,0.48036,1.35025,1.16354,0.02003,1,0.63556,0.47003,1.66157,4.37152,1.8805,0.000141382,0.000141382,0.000141382
39,90.8468,0.5292,1.3746,1.13134,0.01944,1,0.62545,0.48614,1.72775,4.08997,1.90892,0.000134452,0.000134452,0.000134452
40,93.0943,0.49441,1.37725,1.11178,0.01944,1,0.62545,0.48614,1.72775,4.08997,1.90892,0.000126955,0.000126955,0.000126955
41,95.274,0.70892,2.47654,1.35546,0.01889,1,0.74625,0.56563,1.40214,3.72334,1.63836,0.000118893,0.000118893,0.000118893
42,97.393,0.43198,2.12611,1.17179,0.01889,1,0.74625,0.56563,1.40214,3.72334,1.63836,0.000110264,0.000110264,0.000110264
43,99.5931,0.65755,2.22496,1.3928,0.01922,1,0.82917,0.71308,0.92425,3.34749,1.38639,0.00010107,0.00010107,0.00010107
44,101.764,0.86042,2.54221,1.56546,0.01922,1,0.82917,0.71308,0.92425,3.34749,1.38639,9.13102e-05,9.13102e-05,9.13102e-05
45,103.905,0.6634,2.37937,1.42007,0.80583,0.5,0.995,0.8955,0.62069,3.08324,1.20526,8.09843e-05,8.09843e-05,8.09843e-05
46,106.106,0.73689,2.15303,1.52736,0.80583,0.5,0.995,0.8955,0.62069,3.08324,1.20526,7.00924e-05,7.00924e-05,7.00924e-05
47,108.308,0.48574,2.02865,1.31373,0.84387,0.5,0.995,0.90807,0.49401,3.02368,1.09474,5.86347e-05,5.86347e-05,5.86347e-05
48,110.516,0.73964,2.25463,1.5549,0.84387,0.5,0.995,0.90807,0.49401,3.02368,1.09474,4.66111e-05,4.66111e-05,4.66111e-05
49,112.769,0.88486,2.43267,1.551,0.86176,0.5,0.995,0.90806,0.49135,2.94885,1.02278,3.40216e-05,3.40216e-05,3.40216e-05
50,114.928,0.38532,1.84238,1.111,0.86176,0.5,0.995,0.90806,0.49135,2.94885,1.02278,2.08663e-05,2.08663e-05,2.08663e-05
