epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80903,1.52357,3.23327,2.05316,0.0061,1,0.02747,0.01914,1.03565,3.89931,2.31623,0,0,0
2,5.39173,1.67582,3.2036,2.16183,0.00601,1,0.03267,0.02316,0.86376,3.87418,2.22049,1.40071e-05,1.40071e-05,1.40071e-05
3,7.8181,1.44592,3.11991,1.99668,0.00595,1,0.05184,0.03871,0.66463,3.769,2.05829,2.74482e-05,2.74482e-05,2.74482e-05
4,10.4989,1.51856,3.37084,2.04265,0.00593,1,0.07096,0.05393,0.63785,3.70564,1.98951,4.03235e-05,4.03235e-05,4.03235e-05
5,13.0942,1.26891,3.27109,2.01551,0.00575,1,0.11149,0.08969,0.7279,3.75292,1.95732,5.26329e-05,5.26329e-05,5.26329e-05
6,15.575,1.35976,3.07939,1.91483,0.00568,1,0.28293,0.22635,0.77429,3.76776,2.00607,6.43764e-05,6.43764e-05,6.43764e-05
7,17.9635,1.33722,3.04282,1.98548,0.0056,1,0.35673,0.28363,0.77698,3.76305,1.9439,7.55541e-05,7.55541e-05,7.55541e-05
8,20.3618,1.2185,2.91658,1.78136,0.00558,1,0.40521,0.32417,0.78825,3.75946,1.92965,8.61658e-05,8.61658e-05,8.61658e-05
9,22.5951,1.10471,2.91227,1.76867,0.00587,1,0.53792,0.38058,0.7597,3.75629,1.85168,9.62117e-05,9.62117e-05,9.62117e-05
10,24.8808,1.15457,2.97364,1.79086,0.00586,1,0.49667,0.378,0.72694,3.69627,1.74269,0.000105692,0.000105692,0.000105692
11,27.1976,0.9304,2.7431,1.63718,0.00595,1,0.62125,0.46239,0.68154,3.68686,1.62503,0.000114606,0.000114606,0.000114606
12,29.4377,1.00536,2.68944,1.60188,0.00603,1,0.87,0.67626,0.62732,3.68579,1.55757,0.000122954,0.000122954,0.000122954
13,31.7019,0.87089,2.59267,1.46749,0.00604,1,0.995,0.8955,0.59785,3.64545,1.48127,0.000130736,0.000130736,0.000130736
14,34.0487,0.82087,2.48625,1.47087,0.00614,1,0.995,0.80149,0.5949,3.64895,1.38769,0.000137953,0.000137953,0.000137953
15,36.2068,0.67981,2.34399,1.29965,0.00624,1,0.995,0.70225,0.58791,3.64258,1.33476,0.000144603,0.000144603,0.000144603
16,38.3679,0.68179,2.49877,1.28611,0.00644,1,0.995,0.67472,0.53675,3.6563,1.31236,0.000150688,0.000150688,0.000150688
17,40.5076,0.6845,2.22736,1.28303,0.00666,1,0.995,0.68319,0.68708,3.62043,1.32569,0.000156207,0.000156207,0.000156207
18,42.6619,0.67354,2.16767,1.25921,0.00666,1,0.995,0.68319,0.68708,3.62043,1.32569,0.00016116,0.00016116,0.00016116
19,44.8447,0.64732,2.31265,1.21681,0.00672,1,0.995,0.64225,0.8839,3.63273,1.4522,0.000165547,0.000165547,0.000165547
20,46.967,0.63631,2.08815,1.29052,0.00672,1,0.995,0.64225,0.8839,3.63273,1.4522,0.000169368,0.000169368,0.000169368
21,49.2105,0.62433,2.14982,1.22466,0.00708,1,0.87,0.63122,1.05694,3.62449,1.57377,0.000172623,0.000172623,0.000172623
22,51.4652,0.57589,2.00944,1.24393,0.00708,1,0.87,0.63122,1.05694,3.62449,1.57377,0.000175313,0.000175313,0.000175313
23,53.6901,0.66527,2.06234,1.28155,0.00757,1,0.845,0.56621,1.34643,3.7854,1.96644,0.000177436,0.000177436,0.000177436
24,56.1418,0.61248,1.83241,1.18844,0.00757,1,0.845,0.56621,1.34643,3.7854,1.96644,0.000178994,0.000178994,0.000178994
