epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29158,0,192.31,0,0.00546,1,0.01453,0.00774,0.86953,7.14706,2.06238,0,0,0
2,13.4857,0,186.411,0,0.00562,1,0.0186,0.01001,0.92965,6.85118,2.09715,1.40071e-05,1.40071e-05,1.40071e-05
3,19.5649,0,162.238,0,0.00671,1,0.03292,0.01504,0.95369,6.17601,2.10718,2.74482e-05,2.74482e-05,2.74482e-05
4,25.6683,0,145.842,0,0.01053,1,0.03528,0.00899,1.03875,5.55272,2.11521,4.03235e-05,4.03235e-05,4.03235e-05
5,31.6985,0,128.629,0,0.02353,1,0.03618,0.00874,1.00207,5.86242,2.08315,5.26329e-05,5.26329e-05,5.26329e-05
6,37.7186,0,113.122,0,0.05,0.5,0.04369,0.00437,0.9834,7.12771,2.06116,6.43764e-05,6.43764e-05,6.43764e-05
7,43.5788,0,103.582,0,0,0,0,0,0.94987,8.19122,2.00327,7.55541e-05,7.55541e-05,7.55541e-05
8,49.1868,0,93.9967,0,0,0,0,0,0.81675,9.85898,1.88222,8.61658e-05,8.61658e-05,8.61658e-05
9,55.5899,0,86.619,0,0,0,0,0,0.74949,10.879,1.79734,9.62117e-05,9.62117e-05,9.62117e-05
10,62.4889,0,80.7166,0,0,0,0,0,0.81743,9.75271,1.80787,0.000105692,0.000105692,0.000105692
11,69.8145,0,76.5919,0,0,0,0,0,0.91636,8.57005,1.84055,0.000114606,0.000114606,0.000114606
12,75.8611,0,72.2757,0,0.00437,0.5,0.0035,0.0007,1.04961,7.74862,1.87903,0.000122954,0.000122954,0.000122954
13,81.9652,0,66.8037,0,0.0041,0.5,0.00346,0.00035,1.10852,7.36506,1.92937,0.000130736,0.000130736,0.000130736
14,87.7833,0,62.6463,0,0,0,0,0,1.18399,6.98481,1.95887,0.000137953,0.000137953,0.000137953
15,93.1706,0,58.2481,0,0,0,0,0,1.14,6.59252,1.96212,0.000144603,0.000144603,0.000144603
16,98.4426,0,54.9736,0,0.00971,0.5,0.00763,0.00534,1.1589,6.23921,2.02255,0.000150688,0.000150688,0.000150688
17,104.112,0,50.3238,0,0.01149,0.5,0.01043,0.00834,1.1969,5.99901,2.1471,0.000156207,0.000156207,0.000156207
18,109.298,0,46.4495,0,0.01149,0.5,0.01043,0.00834,1.1969,5.99901,2.1471,0.00016116,0.00016116,0.00016116
19,114.659,0,46.9129,0,0.02667,1,0.03685,0.0222,1.13239,5.41437,2.17482,0.000165547,0.000165547,0.000165547
20,119.899,0,42.9497,0,0.02667,1,0.03685,0.0222,1.13239,5.41437,2.17482,0.000169368,0.000169368,0.000169368
21,126.455,0,42.6273,0,0.0177,1,0.08587,0.0402,0.98281,5.13446,1.96305,0.000172623,0.000172623,0.000172623
22,132.628,0,40.0351,0,0.0177,1,0.08587,0.0402,0.98281,5.13446,1.96305,0.000175313,0.000175313,0.000175313
23,138.027,0,38.9789,0,0.01212,1,0.0317,0.01259,0.68964,5.29703,1.64717,0.000177436,0.000177436,0.000177436
24,143.165,0,37.3776,0,0.01212,1,0.0317,0.01259,0.68964,5.29703,1.64717,0.000178994,0.000178994,0.000178994
25,148.637,0,36.2036,0,0.01124,1,0.01777,0.0066,0.75168,5.0963,1.56942,0.000179985,0.000179985,0.000179985
26,153.761,0,32.7909,0,0.01124,1,0.01777,0.0066,0.75168,5.0963,1.56942,0.000180411,0.000180411,0.000180411
27,159.05,0,33.8061,0,0.01307,1,0.03159,0.0138,0.75515,4.69055,1.50269,0.000180271,0.000180271,0.000180271
28,164.273,0,30.6475,0,0.01307,1,0.03159,0.0138,0.75515,4.69055,1.50269,0.000179565,0.000179565,0.000179565
