epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,54.5451,0.77922,1.17287,1.50683,0.96816,1,0.995,0.8955,0.67243,2.55015,1.52178,0.000188001,0.000188001,0.000188001
19,58.1735,0.63672,1.07437,1.18743,0.9682,1,0.995,0.8955,0.86436,2.46055,1.56519,0.000193119,0.000193119,0.000193119
20,61.0036,0.72332,1.00991,1.22285,0.9682,1,0.995,0.8955,0.86436,2.46055,1.56519,0.000197576,0.000197576,0.000197576
21,64.2308,0.73474,1.10341,1.36571,0.96988,1,0.995,0.796,1.25382,3.26973,1.77173,0.000201374,0.000201374,0.000201374
22,67.7889,0.79396,1.06974,1.38654,0.96988,1,0.995,0.796,1.25382,3.26973,1.77173,0.000204511,0.000204511,0.000204511
23,70.6627,0.73377,0.99533,1.3022,0.97303,1,0.995,0.597,1.79845,2.31309,1.95277,0.000206988,0.000206988,0.000206988
24,73.21,0.67409,1.04091,1.34598,0.97303,1,0.995,0.597,1.79845,2.31309,1.95277,0.000208805,0.000208805,0.000208805
25,75.9418,0.69271,0.78624,1.23047,0.97152,1,0.995,0.4975,2.29001,1.98742,2.5056,0.000209962,0.000209962,0.000209962
26,78.6143,0.77926,1.1514,1.32854,0.97152,1,0.995,0.4975,2.29001,1.98742,2.5056,0.000210459,0.000210459,0.000210459
27,81.4069,0.9314,1.73018,1.50445,0.96452,1,0.995,0.398,2.28102,2.25602,2.51791,0.000210295,0.000210295,0.000210295
28,83.9655,0.57153,0.96181,1.14111,0.96452,1,0.995,0.398,2.28102,2.25602,2.51791,0.000209472,0.000209472,0.000209472
29,87.1537,0.80889,0.92054,1.46922,0.94321,1,0.995,0.398,2.00038,2.4438,2.30762,0.000207988,0.000207988,0.000207988
30,89.0692,0.6736,1.10984,1.31873,0.94321,1,0.995,0.398,2.00038,2.4438,2.30762,0.000205844,0.000205844,0.000205844
31,91.299,0.56036,1.00295,1.01579,0.8659,1,0.995,0.53067,1.16379,2.76889,1.93696,0.000203041,0.000203041,0.000203041
32,92.8088,0.69309,0.83894,1.20357,0.8659,1,0.995,0.53067,1.16379,2.76889,1.93696,0.000199577,0.000199577,0.000199577
33,94.773,0.5865,0.77771,1.10741,0.07657,1,0.995,0.6965,0.65479,2.29076,1.49421,0.000195452,0.000195452,0.000195452
34,96.4841,0.6535,0.94658,1.23017,0.07657,1,0.995,0.6965,0.65479,2.29076,1.49421,0.000190668,0.000190668,0.000190668
35,98.1543,0.58193,0.80109,1.23731,0.26889,1,0.995,0.8955,0.50671,2.10236,1.41489,0.000185224,0.000185224,0.000185224
36,99.779,0.43349,0.74628,1.13393,0.26889,1,0.995,0.8955,0.50671,2.10236,1.41489,0.000179119,0.000179119,0.000179119
37,101.496,0.74314,0.88411,1.18293,0.86456,1,0.995,0.8955,0.55542,1.75473,1.27408,0.000172354,0.000172354,0.000172354
38,103.023,0.54749,0.70046,1.1151,0.86456,1,0.995,0.8955,0.55542,1.75473,1.27408,0.00016493,0.00016493,0.00016493
39,104.689,0.47384,0.6801,1.05653,0.87446,1,0.995,0.8955,0.65327,1.57933,1.16771,0.000156845,0.000156845,0.000156845
40,106.246,0.50524,0.62784,1.20477,0.87446,1,0.995,0.8955,0.65327,1.57933,1.16771,0.0001481,0.0001481,0.0001481
41,107.921,1.06089,1.59018,1.89275,0.92982,1,0.995,0.796,0.67375,1.54753,1.21328,0.000138694,0.000138694,0.000138694
42,109.572,0.93914,1.89898,1.86907,0.92982,1,0.995,0.796,0.67375,1.54753,1.21328,0.000128629,0.000128629,0.000128629
43,111.255,0.64715,1.45908,1.33517,0.93959,1,0.995,0.796,0.73887,1.59269,1.32542,0.000117904,0.000117904,0.000117904
44,112.983,0.54478,1.20106,1.44952,0.93959,1,0.995,0.796,0.73887,1.59269,1.32542,0.000106518,0.000106518,0.000106518
45,114.806,0.48543,1.13301,1.21593,0.95682,1,0.995,0.796,0.78202,1.41302,1.32804,9.44722e-05,9.44722e-05,9.44722e-05
46,116.589,1.24526,1.62152,2.11776,0.95682,1,0.995,0.796,0.78202,1.41302,1.32804,8.17663e-05,8.17663e-05,8.17663e-05
47,118.519,0.39985,1.0395,1.12346,0.96731,1,0.995,0.796,0.79107,1.25931,1.33386,6.84003e-05,6.84003e-05,6.84003e-05
48,120.355,0.28017,1.01954,1.20968,0.96731,1,0.995,0.796,0.79107,1.25931,1.33386,5.43742e-05,5.43742e-05,5.43742e-05
49,122.191,0.37691,1.00549,1.33414,0.96757,1,0.995,0.796,0.77456,1.14863,1.30532,3.96879e-05,3.96879e-05,3.96879e-05
50,123.799,0.31505,0.88327,1.07183,0.96757,1,0.995,0.796,0.77456,1.14863,1.30532,2.43415e-05,2.43415e-05,2.43415e-05
