epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17743,1.44044,3.01078,1.96878,0.12847,1,0.4975,0.26296,0.84177,3.58703,2.04079,0,0,0
2,6.11998,1.30601,3.67191,1.91033,0.58119,1,0.995,0.60806,0.82526,3.57759,2.08585,1.63399e-05,1.63399e-05,1.63399e-05
3,8.89312,1.41705,2.78987,2.04537,0.88558,1,0.995,0.6965,0.90702,3.65416,2.12995,3.20197e-05,3.20197e-05,3.20197e-05
4,11.5909,1.14831,2.01155,1.75577,0.90094,1,0.995,0.796,0.91621,4.61369,2.11521,4.70394e-05,4.70394e-05,4.70394e-05
5,14.5575,1.22212,2.31178,1.7864,0.7105,1,0.995,0.796,0.88589,8.84677,2.06126,6.13989e-05,6.13989e-05,6.13989e-05
6,17.6054,1.31022,2.01105,1.85638,0.75445,1,0.995,0.6965,0.84275,9.9421,2.01162,7.50984e-05,7.50984e-05,7.50984e-05
7,21.1794,1.15831,1.63519,1.67471,0.88252,1,0.995,0.796,0.83648,7.0628,1.97991,8.81376e-05,8.81376e-05,8.81376e-05
8,24.6386,1.14427,1.50013,1.6836,0.95601,1,0.995,0.796,0.94323,4.04297,2.04452,0.000100517,0.000100517,0.000100517
9,27.6986,0.94734,1.5272,1.56906,0.9452,1,0.995,0.796,0.97025,4.01217,2.06173,0.000112236,0.000112236,0.000112236
10,30.5003,1.17482,1.47687,1.70725,0.93859,1,0.995,0.796,0.98737,6.09543,2.01341,0.000123295,0.000123295,0.000123295
11,33.6358,0.96999,1.4864,1.67438,0.96138,1,0.995,0.796,1.00512,7.49797,1.95567,0.000133693,0.000133693,0.000133693
12,36.4453,0.92145,1.45513,1.40412,0.97115,1,0.995,0.796,0.95538,6.96144,1.84712,0.000143432,0.000143432,0.000143432
13,39.3546,0.95444,1.2201,1.37141,0.96107,1,0.995,0.796,0.84532,7.25454,1.61454,0.00015251,0.00015251,0.00015251
14,42.3851,1.04103,1.63086,1.55635,0.94603,1,0.995,0.796,0.76531,6.27762,1.50918,0.000160929,0.000160929,0.000160929
15,45.4412,0.98472,1.18687,1.39645,0.96596,1,0.995,0.8955,0.71552,3.94738,1.50846,0.000168687,0.000168687,0.000168687
16,48.4179,0.70989,0.91132,1.28612,0.97193,1,0.995,0.796,0.67482,3.16265,1.52448,0.000175785,0.000175785,0.000175785
17,51.4477,0.79131,1.27314,1.36122,0.96816,1,0.995,0.8955,0.67243,2.55015,1.52178,0.000182223,0.000182223,0.000182223
